ID,Origin,Description,Parameter,Data Type,Polling Interval,Retention Time,Status,Thresholds,Template,Related Object
1711,NetXMS Agent,Agent communications: accept errors,Agent.AcceptErrors,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1710,NetXMS Agent,Agent communications: accepted connections,Agent.AcceptedConnections,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1712,NetXMS Agent,Agent communications: active connections,Agent.ActiveConnections,Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1713,NetXMS Agent,Agent communications: authentication failures,Agent.AuthenticationFailures,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1720,NetXMS Agent,Agent communications: events generated per minute,Agent.GeneratedTraps,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1719,NetXMS Agent,Agent communications: events generated total,Agent.GeneratedTraps,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1723,NetXMS Agent,Agent communications: events sent per minute,Agent.SentTraps,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1714,NetXMS Agent,Agent communications: failed requests,Agent.FailedRequests,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1721,NetXMS Agent,Agent communications: last event time,Agent.LastTrapTime,Unsigned Integer 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1715,NetXMS Agent,Agent communications: processed requests,Agent.ProcessedRequests,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1716,NetXMS Agent,Agent communications: rejected connections,Agent.RejectedConnections,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1717,NetXMS Agent,Agent communications: timed out requests,Agent.TimedOutRequests,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1722,NetXMS Agent,Agent communications: total events sent,Agent.SentTraps,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1718,NetXMS Agent,Agent communications: unsupported requests,Agent.UnsupportedRequests,Counter 32-bit,default,default,Active,,Templates/System/NetXMS Agent/Communications,
1729,NetXMS Agent,Agent local database: data sender queue size,Agent.DataCollectorQueueSize,Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1731,NetXMS Agent,Agent local database: data sender queue size per minute,Agent.DataCollectorQueueSize,Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1724,NetXMS Agent,Agent local database: failed queries,Agent.LocalDatabase.FailedQueries,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1725,NetXMS Agent,Agent local database: long running queries,Agent.LocalDatabase.LongRunningQueries,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1727,NetXMS Agent,Agent local database: status,Agent.LocalDatabase.Status,Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1730,NetXMS Agent,Agent local database: total hosts,sqlite-hosts,Integer,default,default,Not supported,,Templates/System/NetXMS Agent/Local database,
1726,NetXMS Agent,Agent local database: total queries,Agent.LocalDatabase.TotalQueries,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1728,NetXMS Agent,Agent local database: total queries per minute,Agent.LocalDatabase.TotalQueries,Counter 64-bit,default,default,Active,,Templates/System/NetXMS Agent/Local database,
1776,NetXMS Agent,Agent thread pool COMM: current load,Agent.ThreadPool.Load(COMM),Unsigned Integer,default,default,Active,,testhost2,
1779,NetXMS Agent,Agent thread pool COMM: current size,Agent.ThreadPool.CurrSize(COMM),Unsigned Integer,default,default,Active,,testhost2,
1782,NetXMS Agent,Agent thread pool COMM: normalized load average (1 minute),"Agent.ThreadPool.LoadAverage(COMM,1)",Float,default,default,Active,,testhost2,
1785,NetXMS Agent,Agent thread pool COMM: usage,Agent.ThreadPool.Usage(COMM),Unsigned Integer,default,default,Active,,testhost2,
1777,NetXMS Agent,Agent thread pool DATACOLL: current load,Agent.ThreadPool.Load(DATACOLL),Unsigned Integer,default,default,Active,,testhost2,
1780,NetXMS Agent,Agent thread pool DATACOLL: current size,Agent.ThreadPool.CurrSize(DATACOLL),Unsigned Integer,default,default,Active,,testhost2,
1783,NetXMS Agent,Agent thread pool DATACOLL: normalized load average (1 minute),"Agent.ThreadPool.LoadAverage(DATACOLL,1)",Float,default,default,Active,,testhost2,
1786,NetXMS Agent,Agent thread pool DATACOLL: usage,Agent.ThreadPool.Usage(DATACOLL),Unsigned Integer,default,default,Active,,testhost2,
1775,NetXMS Agent,Agent thread pool PROCEXEC: current load,Agent.ThreadPool.Load(PROCEXEC),Unsigned Integer,default,default,Active,,testhost2,
1778,NetXMS Agent,Agent thread pool PROCEXEC: current size,Agent.ThreadPool.CurrSize(PROCEXEC),Unsigned Integer,default,default,Active,,testhost2,
1781,NetXMS Agent,Agent thread pool PROCEXEC: normalized load average (1 minute),"Agent.ThreadPool.LoadAverage(PROCEXEC,1)",Float,default,default,Active,,testhost2,
1784,NetXMS Agent,Agent thread pool PROCEXEC: usage,Agent.ThreadPool.Usage(PROCEXEC),Unsigned Integer,default,default,Active,,testhost2,
1732,NetXMS Agent,Agent thread pool {instance}: current load,Agent.ThreadPool.Load({instance}),Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Thread pools,
1733,NetXMS Agent,Agent thread pool {instance}: current size,Agent.ThreadPool.CurrSize({instance}),Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Thread pools,
1734,NetXMS Agent,Agent thread pool {instance}: normalized load average (1 minute),"Agent.ThreadPool.LoadAverage({instance},1)",Float,default,default,Active,,Templates/System/NetXMS Agent/Thread pools,
1735,NetXMS Agent,Agent thread pool {instance}: usage,Agent.ThreadPool.Usage({instance}),Unsigned Integer,default,default,Active,,Templates/System/NetXMS Agent/Thread pools,
651,NetXMS Agent,CPU: load average (1 minute),System.CPU.LoadAvg,Float,default,default,Active,,Templates/Operating Systems/Generic UNIX,
653,NetXMS Agent,CPU: load average (15 minutes),System.CPU.LoadAvg15,Float,default,default,Active,,Templates/Operating Systems/Generic UNIX,
645,NetXMS Agent,CPU: load average (5 minutes),System.CPU.LoadAvg5,Float,default,default,Active,,Templates/Operating Systems/Generic UNIX,
648,NetXMS Agent,CPU: usage,System.CPU.Usage,Float,default,default,Active,last(2) > 90,Templates/Operating Systems/Generic UNIX,
660,NetXMS Agent,CPU: usage (I/O wait),System.CPU.Usage.IoWait,Float,default,default,Active,last(3) > 50,Templates/Operating Systems/Linux,
659,NetXMS Agent,CPU: usage (interrupts),System.CPU.Usage.Irq,Float,default,default,Active,,Templates/Operating Systems/Linux,
657,NetXMS Agent,CPU: usage (system),System.CPU.Usage.System,Float,default,default,Active,,Templates/Operating Systems/Linux,
656,NetXMS Agent,CPU: usage (user),System.CPU.Usage.User,Float,default,default,Active,,Templates/Operating Systems/Linux,
3231,NetXMS Agent,Enduro/X client 1/NXAGENT/-/1 state,EnduroX.Client.State('1/NXAGENT/-/1'),String,default,default,Active,error(1) != 1,testhost2,
3281,NetXMS Agent,Enduro/X client 1/TXUPLD/1/1 state,EnduroX.Client.State('1/TXUPLD/1/1'),String,default,default,Active,error(1) != 1,testhost2,
3272,NetXMS Agent,Enduro/X client 1/TXUPLD/10/1 state,EnduroX.Client.State('1/TXUPLD/10/1'),String,default,default,Active,error(1) != 1,testhost2,
